entityid,secteur,code,cepage,commune,date,sucres,acidite_totale,ph,indice,acide_tartrique,potasse,azote_amm
04fc94eb-a4c5-4792-9125-f28debfff582,Maconnais,BRE,Chardonnay,Fuissé,19-août-96,845,17,7,2,8,4,77
e431933f-dc02-4916-a9ea-30acb64f4439,Maconnais,BUR,Chardonnay,Fuissé,19-août-96,886,16,1,2,84,5,5
6432cfe7-7ed6-4952-b2d3-27ba6ec5b333,Maconnais,FER,Chardonnay,Fuissé,19-août-96,1014,17,9,2,82,5,66
f3c1efe3-e975-462b-a0e5-c1fc35efe878,Maconnais,VIN,Chardonnay,Fuissé,19-août-96,993,16,9,2,84,5,87
12202af4-821e-43e2-9d74-33d498057875,Maconnais,AUF,Gamay,St.Amour,19-août-96,1079,15,3,2,88,7,5
a1c3b339-50e2-4eee-ba44-4c200eee9ce2,Maconnais,DUF,Gamay,St.Amour,19-août-96,1014,15,2,2,88,6,67
62186829-4066-4ed5-b045-92cccef0c04f,Maconnais,LEB,Gamay,St.Amour,19-août-96,1014,15,6,2,83,6,73
1a6ecc6e-543c-4a7d-9974-82de8a4ea037,Maconnais,BRE,Chardonnay,Fuissé,22-août-96,971,15,7,2,83,6,18
e15ee2de-acb3-402a-b090-44d1aada48d0,Maconnais,BUR,Chardonnay,Fuissé,22-août-96,971,12,85,2,88,7,55
137c1456-3d5a-4d1a-81de-674abce0ec58,Maconnais,FER,Chardonnay,Fuissé,22-août-96,1273,13,8,2,87,9,22
047b8aee-2f3a-482d-95dc-4a510e6a0c8e,Maconnais,VIN,Chardonnay,Fuissé,22-août-96,1122,14,1,2,88,7,95
3f84d0dc-484f-4de8-92be-23d15d4a9215,Maconnais,AUF,Gamay,St.Amour,22-août-96,1165,12,85,2,88,9,6
513d2f68-efe5-47b1-a5ec-aea5e3df5ffd,Maconnais,DUF,Gamay,St.Amour,22-août-96,1186,12,25,2,89,9,68
860bec89-86a5-4f0b-89e6-43356aff7ed5,Maconnais,LEB,Gamay,St.Amour,22-août-96,1229,12,15,2,88,10,11
747c06af-a9ec-4d94-96b9-b057e707f706,Maconnais,BRE,Chardonnay,Fuissé,26-août-96,1122,13,8,2,85,8,13
3aed315c-843a-479d-adfb-1e017c1e9c07,Maconnais,BUR,Chardonnay,Fuissé,26-août-96,1208,11,25,2,91,10,73
9920b026-bfb2-458f-be31-9365c8b42fcf,Maconnais,FER,Chardonnay,Fuissé,26-août-96,1382,12,65,2,9,10,92
69cb431f-a624-46b7-a571-b4daefb1d21b,Maconnais,VIN,Chardonnay,Fuissé,26-août-96,1316,12,5,2,91,10,92
0ac0cdc3-44c2-489d-aecd-98f8e2240363,Maconnais,AUF,Gamay,St.Amour,26-août-96,1316,11,55,2,95,11,39
a3c87a51-20ff-4fed-bebd-1a913b6b7fe0,Maconnais,DUF,Gamay,St.Amour,26-août-96,1295,11,15,2,94,11,61
c97c1c2c-fd4e-43a4-8ea4-d25a231c869e,Maconnais,LEB,Gamay,St.Amour,26-août-96,1404,10,4,2,95,13,5
d3883183-d3c1-4af6-a7b8-579907305e9d,Maconnais,BRE,Chardonnay,Fuissé,29-août-96,1229,12,35,2,85,9,95
ffff795d-09ee-46f5-b276-86d895b10e53,Maconnais,BUR,Chardonnay,Fuissé,29-août-96,1251,10,2,95,12,51,10
ee5d0b45-87e6-41c6-b30d-fd71cb2e62ab,Maconnais,FER,Chardonnay,Fuissé,29-août-96,1515,11,5,2,9,13,71
